text,intent
What was the primary issue in the case of Rakesh Bakshi & Anr. vs State of Jammu and Kashmir & Ors.?,1
What was the significance of the non-recovery of the knife allegedly used by Gadadhar Chandra?,0
Who provides the laws that determine the powers and functions a Gram Sabha can exercise at the village level?,1
Why did the High Court direct that the bail application be placed before a Division Bench?,0
What is the Tamil Nadu Act 21 of 1980?,1
What did the High Court decide regarding Taijuddin's conviction?,0
What was the High Court's reasoning for allowing the revision and granting leave to defend?,1
How did the Supreme Court view the issuance of non-bailable warrants and the initiation of proceedings under Section 82 CrPC?,0
What was the status of the territory known as Tripura before the commencement of the Indian Constitution?,1
What does entry 42 cover?,1
What were the charges against Sita Ram and the other accused in this case?,0
What does the power conferred on Parliament by clause (a) include?,1
"What is the West Bengal Restoration of Alienated Land (Amendment) Act, 1980?",1
What was the main issue in the case of M/s Texco Marketing Pvt. Ltd. v. TATA AIG General Insurance Company Ltd. & Ors.?,0
What was the crime for which the petitioner was convicted?,0
What was the main legal issue in the case of Davinder Singh vs State of Punjab?,0
What were the main charges against Shiv Shankar Prasad Singh in this case?,0
What is the official name for the Madhya Pradesh Act 61 of 1976?,1
Who has control over district courts and courts subordinate thereto?,1
What was the final decision of the Supreme Court in the case of Birbal Choudhary @ Mukhiya Jee vs. State of Bihar?,0
Can the validity of any proceedings in the Legislature of a State be questioned?,1
What was the decision of the arbitrator regarding the withdrawal of the resignation by M/S. Sathyanarayana Service Station?,2
What were the findings of the Special Court in Land Grabbing Case No. 17 of 1993?,1
"What did the Designated Court, Mumbai decide regarding Abu Salem's punishment?",0
When should every Proclamation under this article be laid before each House of Parliament?,1
"What are bills of exchange, cheques, promissory notes, bills of lading, letters of credit, policies of insurance, transfer of shares, debentures, proxies and receipts subject to in terms of charges?",2
Who determines the age of a Judge of the Supreme Court and in what manner?,1
What are the rights in case of jail?,0
What were the charges against Krishan and Som Nath in this case?,0
are you human,3
What role did the Advisory Board play in confirming the detention order?,0
What was the Supreme Court's view on the High Court's decision in the case Monthi Menezes (D) by LR vs. Devaki Amma (D) by LR & Anr.?,1
What was the agreement between Amarjit Singh and Jagjit Singh regarding the shop?,1
How did the Supreme Court view the balance between legal provisions and the appellant's professional duties?,0
What was the appellant's argument regarding the delay in payment of the balance sale consideration?,2
What were the key reasons for the Supreme Court to set aside the conviction in 'Sudhir Kumar Jain vs. State of Rajasthan'?,1
What was the Supreme Court's decision regarding the appeal by Dr. Ashok Sinha?,1
What was the outcome of the departmental enquiry initiated against M. Duraisamy?,0
What did the Supreme Court conclude about the quashing of the criminal proceedings at a pre-trial stage?,0
What impact did the delay in obtaining prosecution sanction have on the case?,0
Why did the Division Bench of the High Court reverse the decision of the Single Judge?,1
What previous judgments did the Supreme Court refer to in making its decision?,1
What is the Kerala Act 20 of 1969?,1
What sections of the Indian Penal Code were involved in the case of N. Manogar & Anr. vs The Inspector of Police & Ors.?,0
What is the main issue in the case of Monika Kumari vs. Abhishek Yadav?,1
Who is entitled to receive salaries and allowances?,1
When was the Calcutta Thikka Tenancy (Acquisition and Regulation) Act enacted?,1
What does the Indian Constitution's 82nd item discuss on?,1
What did the Supreme Court conclude regarding the prima facie evidence against the appellants?,0
Can Parliament extend the provisions of this Part to the Scheduled Areas and the tribal areas referred to in clause (1)?,1
What is the statement of the estimated receipts and expenditure of the State for that year referred to as?,1
What is the purpose of the amendment made to paragraph 4 in its application to the State of Assam?,1
What were the Supreme Court's instructions about the future custody and welfare of the children?,1
Why did the Supreme Court discard the testimony of Ramphal Singh (PW-2)?,1
HELLO AI,3
Why did the High Court dismiss the revision filed by the Commissioner of Commercial Taxes?,1
How are the emoluments and allowances allocated if the same person is appointed as Governor of two or more States?,1
What is the Tamil Nadu Act 30 of 1989 also known as?,1
What was the prosecution's case regarding the events leading to the murder of Mahesh Sahu?,0
"What was the Supreme Court's decision regarding the calculation of solatium in the case RB Dealers Private Limited vs. The Metro Railway, Kolkata?",1
What was the stance of the Sulthan Bathery Municipality regarding the compensation for the land?,1
What could be the impact of the Supreme Court's decision on other work charged employees in Bihar?,1
What was the Supreme Court's decision regarding the findings of the High Court?,1
What compensation did the Reference Court determine for the acquired land on 31st May 2014?,1
Who decides the time and place for each House of Parliament to meet?,1
What does the expression 'district judge' include according to the Constitution of India?,1
What was the decision of the Trial Court regarding the accused in this case?,0
What did the Supreme Court direct regarding the attachment of bank accounts in this case?,0
What did the trial court find regarding the allegations against V. Rajaram?,0
How can a Speaker or Deputy Speaker resign their office?,2
"What was the volume and value of the gold smuggled, as per the case details?",0
What was the stance of the Supreme Court on the burden of proof in matrimonial cases?,1
How did the High Court rule on the appeals filed by the accused?,0
Who decides if a Bill is a Money Bill in the House of the People?,1
What are the seats in the House of the People reserved for?,1
Under what conditions can the board of a co-operative society not be superseded or kept under suspension?,1
What are the rights of citizenship for certain persons of Indian origin residing outside India?,1
What was the primary allegation against A. Sreenivasa Reddy in this case?,0
"What was the sentence given to N. Raghavender by the Special Judge, CBI Cases, Hyderabad?",0
What legislative framework did the State of Maharashtra enact to regulate the issuance and verification of caste certificates?,0
What was the primary grievance of the appellants in this case?,0
What was the defense taken by the accused in the 'Munikrishna @ Krishna etc. vs State by Ulsoor PS' case?,0
How did the High Court modify the sentences imposed on Ram Sharan Chaturvedi by the Trial Court?,0
What were the Supreme Court's observations regarding the timing of the complaint filed by the respondent?,0
What was the primary issue in the case of The State of Uttar Pradesh & Ors. vs. Premlata?,1
What does 'State' refer to in clauses (a) to (e)?,1
What was the main legal issue in the case Bank of Baroda & Ors. vs. Baljit Singh?,0
What impact does this judgment have on the application of Section 195(1)(a)(i) CrPC?,0
Who has the power to include in or exclude from the list of Scheduled Castes specified in a notification?,1
What was the prosecution's allegation against K. Shanthamma in the case of K. Shanthamma vs The State of Telangana?,0
Who shall be deemed substituted for the Dominion of India in any legal proceedings pending at the commencement of this Constitution where the Dominion of India is a party?,1
What might be the impact of the Supreme Court's decision on future municipal elections in Karnataka?,1
What did the Supreme Court decide regarding the objections to the key answers?,1
What did the Supreme Court say about the High Court's exercise of revisional jurisdiction in this case?,1
What was the Supreme Court's instruction to the Court at Gaya regarding the possibility of settlement?,1
"Who is entitled to determine the privileges, allowances, and rights of a Supreme Court Judge?",1
Who is responsible for translating the Constitution and all its amendments into the Hindi language?,1
How did the Supreme Court rule regarding the High Court's judgment?,1
What is the maximum number of members in the Legislative Council of a State?,1
"What provisions with respect to the powers, authorities and procedure of the Administrative Tribunal can be included in an order made under clause (3), as deemed necessary by the President?",2
How did the Supreme Court view the presence of the appellants at the scene of the crime?,1
How did the Supreme Court address the arguments regarding the prospective application of the Act?,0
"Who controls or finances libraries, museums and other similar institutions?",1
What were the main allegations made by M/s Neeharika Infrastructure Pvt. Ltd.?,0
On what date was the appellant detained under the National Security Act (NSA)?,0
How did the court address the defense's claim of fabricated evidence?,0
What act was enacted in 1984 related to thikka tenancy in Calcutta?,1
What was the Supreme Court's final decision in the case of Ashwani Kumar & Anr. vs The State of Punjab?,0
What was the decision of the trial court regarding Dilipsinh Kishorsinh Rao's application for discharge?,1
"What are the administrative expenses of a High Court, including all salaries, allowances and pensions payable to or in respect of the officers and servants of the Court, charged upon?",1
Who is responsible for providing the manner of election of the Chairperson of a Municipality?,1
What was the Supreme Court's decision regarding the review petitions?,1
What is the obligation of States and the Union according to Section 256?,1
What is the voting requirement for the District Council to pass regulations under this paragraph?,1
Why did the Supreme Court set aside the decisions of the executing court and the High Court?,1
What is the consequence according to Indian law if a person voluntarily acquires the citizenship of any foreign State?,1
What were the grounds for seeking the cancellation of bail of the second respondent in the case?,0
What stand did the State government take in its affidavit filed in response to the Supreme Court's order?,1
What must every President and every person acting as President or discharging the functions of the President do before entering upon his office?,2
How did the Supreme Court of India address the grievances regarding the new Haj Policy?,1
What are the salaries and allowances of the Deputy Speaker of the House of the People and the Deputy Chairman of the Council of States?,1
How did the Supreme Court address the issue of delay in reporting the crime?,0
What was the Supreme Court's observation regarding the High Court's handling of the bail applications?,0
What was the final compensation determined by the Supreme Court in the case of Mohar Singh (Dead) through LRS. & Ors. vs. State of Uttar Pradesh Collector & Ors.?,1
"What does the constitution of India state about the regulation and organisation of air traffic, provision of aerodromes, aeronautical education and training provided by States and other agencies?",1
What is the 'West Bengal Act 12 of 1991' known as?,1
What directive did the Supreme Court give regarding the continuation of Sanjai Tiwari's trial?,1
What factors did the Supreme Court consider regarding Iqbal's conduct and antecedents?,0
What legal principle did the Supreme Court cite regarding the timely execution of preventive detention orders?,1
What was the defense's argument in the appeal?,0
What does this judgment clarify about the liability of drivers in rear-end collisions?,0
What were the allegations made by Mrs. Doris Victor against R. Jawaharaj?,1
What is the meaning of 'prescribed' when it refers to a rule or guideline that has been officially put forth or stipulated in an article?,1
What did the Supreme Court rule regarding the State Election Commission's power to issue notifications requiring asset disclosure?,1
What reasoning did the Supreme Court provide for restoring the penalty of removal from service?,0
What was the final decision of the Supreme Court regarding the appellants' conviction and sentence?,0
"Which territories does the term 'State' include in the context of articles 246A, 268, 269, 269A and article 279A?",1
What were the charges against Surendra Singh and Ram Singh?,0
What did the Supreme Court say about the classification of former Chief Ministers as a special category of citizens?,1
Who can the Chief Justice of India authorise to make rules for the Supreme Court of India?,1
What was the outcome of the appeal in the Supreme Court?,0
"How many prosecution witnesses were listed in the charge sheet, and how many were likely to be examined according to the respondent?",0
What was the Supreme Court's stance on the best interest of the child in custody matters?,1
What was the main issue in the case of M/S Orator Marketing Pvt. Ltd. vs. M/S Samtex Desinz Pvt. Ltd.?,2
What was the primary legal issue in the case of State of Kerala vs. M/S Akay Flavours and Aromatics Ltd.?,1
How might this judgment affect the handling of similar cases in the future?,1
Help me with agreement laws.,2
Who are the members of the Goods and Services Tax Council?,2
What was the Supreme Court's stance on the petitioner's freedom of speech and the use of social media?,1
Who should consult the Commission on all major policy matters affecting Scheduled Tribes?,1
What was the main legal issue in the case of Ashwani Kumar & Anr. vs The State of Punjab?,0
What are the duties of the National Commission for Scheduled Tribes?,1
What was the prosecution's case against Dr. Anup Kumar Srivastava?,0
What triggered the legal dispute in this case?,1
What was the Supreme Court's final decision on Srilekha Sentilkumar's appeal?,1
What was the amendment made to paragraph 16?,1
What action did the Delhi Police take at Mohammed Zubair's residence on 30th June 2022?,0
What were the charges against the appellants in the case 'Ramesh vs. State of Uttarakhand'?,0
What should the Commission do after their investigation?,1
What does the 77th item in the Constitution of India pertain to?,1
What happens to a member of a House belonging to any political party who is disqualified for being a member of the House under paragraph 2 of the Tenth Schedule?,1
What are the provisions for the safety of shipping and aircraft?,1
What did the Supreme Court conclude regarding the procedural compliance in Jogeshwar Swain's case?,1
